size,sc,split,scale_idx,scale_value,allowed_n,effective_vocab,dead_fraction,perplexity,entropy_bits,top1_share,n_tokens,residual_energy,geom_eff_dim,geom_mean_cos_dist
small,sc341,train,0,1,1,1,0.0,1.0,-0.0,1.0,30000,15012.12109375,2.2403457164764404,0.9958357810974121
small,sc341,train,1,2,9,9,0.0,3.1224094167091287,1.6426597188436003,0.5254416666666667,120000,10473.6728515625,2.2403457164764404,0.9958357810974121
small,sc341,train,2,4,76,76,0.0,14.641673667787392,3.8720085702448026,0.14346458333333334,480000,13123.2587890625,2.2403457164764404,0.9958357810974121
small,sc341,train,3,8,467,467,0.0,124.0087957925664,6.9542986426149,0.022649479166666667,1920000,32855.84375,2.2403457164764404,0.9958357810974121
small,sc341,train,4,16,741,741,0.0,605.2763779072973,9.241450237930058,0.0036049479166666665,7680000,85406.3359375,2.2403457164764404,0.9958357810974121
small,sc341,val,0,1,1,1,0.0,1.0,-0.0,1.0,2000,15012.12109375,2.2403457164764404,0.9958357810974121
small,sc341,val,1,2,9,8,0.11111111111111116,3.51576003726656,1.813836604935328,0.521875,8000,10473.6728515625,2.2403457164764404,0.9958357810974121
small,sc341,val,2,4,76,48,0.368421052631579,15.408666225286675,3.945670082408919,0.14071875,32000,13123.2587890625,2.2403457164764404,0.9958357810974121
small,sc341,val,3,8,467,330,0.29336188436830835,122.17315469980555,6.932783504094983,0.023,128000,32855.84375,2.2403457164764404,0.9958357810974121
small,sc341,val,4,16,741,741,0.0,611.1943846854464,9.2554874785285,0.003759765625,512000,85406.3359375,2.2403457164764404,0.9958357810974121
small,sc917,train,0,1,1,1,0.0,1.0,-0.0,1.0,30000,3549.312744140625,3.7964835166931152,0.9723740816116333
small,sc917,train,1,2,11,11,0.0,4.31522208170073,2.109434809212718,0.319875,120000,1094.2037353515625,3.7964835166931152,0.9723740816116333
small,sc917,train,2,4,85,85,0.0,21.105326510074853,4.3995352435775175,0.09146458333333334,480000,2604.53662109375,3.7964835166931152,0.9723740816116333
small,sc917,train,3,8,842,842,0.0,133.1939418581564,7.057384654691735,0.023565625,1920000,9234.791015625,3.7964835166931152,0.9723740816116333
small,sc917,train,4,16,2524,2524,0.0,1057.0643433918046,10.045847480745977,0.002468359375,7680000,15479.35546875,3.7964835166931152,0.9723740816116333
small,sc917,train,5,24,2564,2564,0.0,2417.761887404559,11.239456452832256,0.0007210648148148148,17280000,15585.2392578125,3.7964835166931152,0.9723740816116333
small,sc917,val,0,1,1,1,0.0,1.0,-0.0,1.0,2000,3549.312744140625,3.7964835166931152,0.9723740816116333
small,sc917,val,1,2,11,9,0.18181818181818177,4.87522628313617,2.2854691829611253,0.316125,8000,1094.2037353515625,3.7964835166931152,0.9723740816116333
small,sc917,val,2,4,85,57,0.3294117647058824,21.292174036623475,4.412251358520936,0.0955625,32000,2604.53662109375,3.7964835166931152,0.9723740816116333
small,sc917,val,3,8,842,635,0.24584323040380052,133.4376817337293,7.060022319369091,0.0260625,128000,9234.791015625,3.7964835166931152,0.9723740816116333
small,sc917,val,4,16,2524,2424,0.03961965134706813,1099.465752451826,10.10258695066722,0.002333984375,512000,15479.35546875,3.7964835166931152,0.9723740816116333
small,sc917,val,5,24,2564,2516,0.018720748829953227,2430.2888893589106,11.246912102391551,0.0006944444444444445,1152000,15585.2392578125,3.7964835166931152,0.9723740816116333
small,sc1941,train,0,1,1,1,0.0,1.0,-0.0,1.0,30000,3491.933349609375,4.694394588470459,0.9934386014938354
small,sc1941,train,1,2,8,8,0.0,1.7588320048270976,0.8146176900996528,0.843775,120000,254.8582305908203,4.694394588470459,0.9934386014938354
small,sc1941,train,2,4,70,70,0.0,11.182225558684928,3.4831354461220827,0.20589375,480000,698.0161743164062,4.694394588470459,0.9934386014938354
small,sc1941,train,3,8,475,475,0.0,63.255342250819034,5.9831154231258665,0.050840625,1920000,2437.00341796875,4.694394588470459,0.9934386014938354
small,sc1941,train,4,16,1675,1675,0.0,408.5870639575987,8.67449971822263,0.0081078125,7680000,4149.1171875,4.694394588470459,0.9934386014938354
small,sc1941,train,5,24,2144,2144,0.0,1099.8529750817966,10.103094966323848,0.002416666666666667,17280000,3804.2724609375,4.694394588470459,0.9934386014938354
