size,sc,arch,params_M,horizon,best_T,n_T,emd_nsp,emd_vqvae,tke_rse
large,sc1941,s113,113.0,1,1.0,7,0.06206560297117397,0.06562845255136962,0.5224960730270308
large,sc1941,s139,139.0,1,1.0,7,0.06078853681294442,0.06562854533248495,0.5295952809697652
large,sc1941,s31,31.0,1,1.0,7,0.06721938731879751,0.06562854533248495,0.5677413886196981
large,sc1941,s48,48.0,1,1.0,7,0.06299566163276885,0.06562893298244203,0.5284855185180448
large,sc1941,s73,73.0,1,1.0,7,0.06322454477039169,0.0656281508733966,0.5358995216131903
large,sc341,s06,6.0,1,0.7,6,0.22503825673308053,0.2313295077557368,0.7451019474793437
large,sc341,s09,9.0,1,0.7,6,0.25682862366863524,0.2313295077557368,0.7573004383259303
large,sc341,s13,13.0,1,0.7,6,0.2249349135419225,0.2313295077557368,0.7445281263111717
large,sc341,s18,18.0,1,0.8,6,0.2247326629660504,0.2313295077557368,0.7443614980987664
large,sc341,s24,24.0,1,0.7,6,0.22496676748048816,0.2313295077557368,0.744541231771465
large,sc917,s13,13.0,1,0.8,7,0.12522005044315868,0.1259886886062306,0.6771606681685219
large,sc917,s22,22.0,1,0.8,7,0.12265517384586028,0.1259881785032927,0.6740183851091531
large,sc917,s34,34.0,1,0.8,7,0.12258882203245731,0.1259885538478429,0.6728207124298963
large,sc917,s50,50.0,1,0.8,7,0.1226251280282784,0.1259885538478429,0.6706280166450801
large,sc917,s74,74.0,1,1.0,7,0.12372387325399942,0.12598747305601465,0.6727757318947789
medium,sc1941,s113,113.0,1,1.0,7,0.06224552846716074,0.06186107429686561,0.5423299303965905
medium,sc1941,s139,139.0,1,1.0,7,0.061524873330703944,0.06186179245346784,0.5475091432903527
medium,sc1941,s31,31.0,1,1.0,7,0.07379033608949662,0.06186179245346784,0.5677650581113598
medium,sc1941,s48,48.0,1,1.0,7,0.068396902363699,0.06186107429686561,0.5571808107974452
medium,sc1941,s73,73.0,1,1.0,7,0.0643683805722903,0.06186179245346784,0.5494164223321882
medium,sc341,s06,6.0,1,0.8,6,0.23775772782112575,0.2355193812799536,0.7609351309929651
medium,sc341,s09,9.0,1,0.7,6,0.2442284177156268,0.2355193812799536,0.7687068575400201
medium,sc341,s13,13.0,1,0.8,6,0.23967724368570376,0.2355193812799536,0.7603388351269503
medium,sc341,s18,18.0,1,1.2,6,0.23899004469126933,0.2355193812799536,0.7606565250874263
medium,sc341,s24,24.0,1,1.2,6,0.23862388771906687,0.2355199511250695,0.7606015553016411
medium,sc917,s13,13.0,1,0.8,7,0.13224356364563866,0.12344982984502063,0.6735334689581622
medium,sc917,s22,22.0,1,0.8,7,0.12759985287668382,0.12345002108314548,0.6669036218335179
medium,sc917,s34,34.0,1,0.8,7,0.12743838213647068,0.12344655616492133,0.6692255741987524
medium,sc917,s50,50.0,1,0.8,7,0.12373562115166072,0.12344982984502063,0.6646278030310693
medium,sc917,s74,74.0,1,0.8,7,0.12704668966685145,0.12344730466566144,0.663485121345804
