size,arch,params_M,cross_entropy,pixel_rmse,tke_rse_nsp,ens_rse_nsp,emd_nsp,ood_rate_mean
small,s06,6.04,1.518311215377319,3.720648765563965,0.8002718784338546,0.8002442207703276,0.2681471351562944,0.0
small,s09,9.11,1.7369257478251223,4.022625923156738,0.802357577299523,0.8023256081219098,0.2721227669614583,0.0
small,s13,12.65,1.007697976846108,3.5987906455993652,0.7978675827260199,0.7978373219820557,0.26270711760647497,0.0
small,s18,17.96,0.7835878394376403,3.570127487182617,0.7973057053922936,0.7972707219469898,0.25942406006758945,0.0
small,s24,24.04,0.7306885926827245,3.5582995414733887,0.797064542969474,0.7970337865499273,0.258651448253327,0.0
medium,s06,6.04,1.7690057999017896,3.5191502571105957,0.7642005776549009,0.7642883483629775,0.27117601399319535,0.0
medium,s09,9.11,2.4580439092398523,4.2012763023376465,0.7691485705309326,0.7692543298593593,0.2918486020978419,0.0
medium,s13,12.65,1.2689086258441225,3.470486640930176,0.7627706552742471,0.7628580694834195,0.27356223875435093,0.0
medium,s18,17.96,0.972780648352445,3.454671859741211,0.7625657015928173,0.7626461969421049,0.2724595295247902,0.0
medium,s24,24.04,0.8855902972431288,3.4539995193481445,0.7623536566831566,0.7624419068180399,0.2731634368049298,0.0
large,s06,6.04,1.8524847922174856,4.927659511566162,0.795777608096754,0.7969154086206769,1.0818288645108558,0.0
large,s09,9.11,3.2661371351540716,5.820947647094727,0.7954866688388972,0.7965468700552182,1.0815485385803831,0.0
large,s13,12.65,1.213879427294423,4.893673419952393,0.7954322349064241,0.7965563819491446,1.0813597285279632,0.0
large,s24,24.04,0.8385987299391483,4.886088848114014,0.7954734326795648,0.7965847720345446,1.0817556209476145,0.0
