size,arch,params_M,tke_rse_nsp,tke_rse_vqvae,ens_rse_nsp,ens_rse_vqvae,emd_nsp,emd_vqvae,collapse_rate
small,s13,13.32,0.889387412703327,0.6440874775466026,0.8910369994303132,0.6440536006442569,0.7770713796704025,0.10617559812200056,1.0
small,s22,22.18,0.8482957866474202,0.6440878686350837,0.8469051737290917,0.6440539849482587,0.39908174221201775,0.10617375340913228,1.0
small,s34,34.14,0.8395315688547516,0.644087481338558,0.8406063269425531,0.6440536040938557,0.3370314342088363,0.10617538787709348,1.0
small,s50,50.07,0.8201725710847447,0.6440874686590307,0.8202030091968368,0.6440535918799309,0.28592278103691404,0.106175527743969,1.0
small,s74,73.68,0.8661821213346357,0.6440878609487051,0.8669817967509185,0.6440539748117587,0.5034912674170273,0.10617300161130064,1.0
medium,s13,13.32,0.916791426573723,0.6482016424674433,0.9198642804923262,0.6481447106933572,1.9115504564122352,0.11352597531769414,1.0
medium,s22,22.18,0.8876858494451813,0.6482017574318267,0.889620205931764,0.6481448244131771,1.2828637309015474,0.11352727726590624,1.0
medium,s34,34.14,0.8624064732967659,0.6482014049375951,0.8619001142035086,0.6481444702957588,0.2695623491009771,0.11352715570499364,1.0
medium,s50,50.07,0.836959600307001,0.6482014192047381,0.8378141094170061,0.6481444849984744,0.5433230468806965,0.11352707058410522,1.0
medium,s74,73.68,0.8582259921592602,0.6482012295646788,0.8578593268457991,0.6481442939792432,0.4944295016321424,0.11352755509330135,1.0
large,s13,13.32,0.8430478206204329,0.6648589628080642,0.8405627691937613,0.6646944502779083,0.14202675514311788,0.11614656002825564,0.0
large,s22,22.18,0.8156315498931537,0.6648587733446193,0.8164595774774316,0.6646942624879617,0.1593577044273316,0.11614546729926924,0.0
large,s34,34.14,0.8441678725732281,0.6648587887384667,0.844609921713238,0.6646942778877146,0.4319340063476243,0.1161455294854452,1.0
large,s50,50.07,0.8380884892159726,0.6648587887384667,0.8378780418033184,0.6646942778877146,0.34322817530005495,0.1161455294854452,1.0
large,s74,73.68,0.8420893148379083,0.6648589628080642,0.8432112336703173,0.6646944502779083,0.3184781476514357,0.11614656002825564,1.0
