size,sc,arch,params_M,best_T,n_T,emd_nsp,emd_vqvae,tke_rse,enstrophy_rse
large,sc1941,s113,113.0,1.8,5,0.1852882979231756,0.05647878612550705,0.7790843212676224,0.7797524612684101
large,sc1941,s139,139.0,2.0,5,0.15650048195560784,0.056480780486145826,0.7720360747377708,0.7730019959478478
large,sc1941,s31,31.0,1.6,5,0.1655118998579708,0.05647866056784226,0.7615501728484628,0.7620554478643573
large,sc1941,s48,48.0,1.4,5,0.1568028234058998,0.05647865109417945,0.7638350137882417,0.7640896993066861
large,sc1941,s73,73.0,1.6,5,0.17146630465503895,0.05647866056784226,0.7873546800133502,0.7878858168320987
large,sc341,s06,6.0,1.1,4,0.2105946504671376,0.21914733881259235,0.8099531019177296,0.8106150487922437
large,sc341,s09,9.0,0.8,4,0.28395959696696926,0.21914733881259235,0.7822020074488667,0.7827180385393742
large,sc341,s13,13.0,1.1,4,0.1478765490344064,0.21914733903265268,0.80846045596555,0.8092940529208221
large,sc341,s18,18.0,1.0,4,0.16187521608671937,0.21914733881259235,0.8071935154233056,0.8080448247185632
large,sc341,s24,24.0,1.1,4,0.19104302974836732,0.21914733881259235,0.8192842440050707,0.8196266376496216
large,sc917,s13,13.0,1.8,5,0.17165890390553476,0.11614613147045828,0.7696802106691125,0.7697023408033432
large,sc917,s22,22.0,1.6,4,0.1223139185189054,0.11614552867464324,0.8053120383726278,0.8056061528912
large,sc917,s34,34.0,1.8,4,0.1309681646709912,0.11614639149251547,0.7874392201275336,0.7878968082009277
large,sc917,s50,50.0,1.6,3,0.2858251007188118,0.11614566005409575,0.8283924401252001,0.8290798229222112
large,sc917,s74,74.0,1.8,4,0.22340331098172167,0.11614548316610208,0.8264870844527649,0.8269495474196481
medium,sc1941,s113,113.0,2.2,5,0.1405124901077077,0.055059316308040826,0.7882669539044382,0.7886777147246805
medium,sc1941,s139,139.0,2.2,5,0.20450434883616744,0.05505938566979833,0.8195181535743614,0.8199321909136639
medium,sc1941,s31,31.0,2.0,5,0.35228620085910656,0.05505929258180105,0.8137847553772908,0.8137426662777488
medium,sc1941,s48,48.0,1.8,5,0.21052640605884593,0.05505938566979833,0.812047021374278,0.8121049213655525
medium,sc1941,s73,73.0,2.0,5,0.16168523526573603,0.05505957750659968,0.8009304995178141,0.8012306453883977
medium,sc341,s06,6.0,0.9,5,0.24577998842706408,0.22544715018357597,0.8353167946159585,0.8359721341342089
medium,sc341,s09,9.0,0.8,5,0.3199040112999674,0.2254469332791052,0.8141458313438569,0.8145117574420672
medium,sc341,s13,13.0,1.2,5,0.16786047636670604,0.22544715088735776,0.8520949018160546,0.852163058116177
medium,sc341,s18,18.0,1.1,4,0.1350988342322864,0.22544715088735776,0.8590541955750878,0.8592480300961155
medium,sc341,s24,24.0,1.0,5,0.19135910375129336,0.2254469332791052,0.8565971758273739,0.8567969689267279
medium,sc917,s13,13.0,1.8,5,0.20461488570466593,0.11352707041733144,0.7826283511223061,0.7828941741735003
medium,sc917,s22,22.0,1.6,5,0.135442860062052,0.11352707041733144,0.7998375350901448,0.8002763145872487
medium,sc917,s34,34.0,1.6,5,0.11866054519812608,0.11352703480061876,0.8159938810398336,0.8158276108192002
medium,sc917,s50,50.0,1.6,3,0.2876421534301769,0.11352572996822737,0.8250210931582077,0.8249292233007115
medium,sc917,s74,74.0,1.8,4,0.1956630573189665,0.113527191737078,0.8283212906670249,0.8286570650989824
small,sc1941,s113,113.0,2.0,5,0.2007082036277147,0.08160033105568004,0.8007611727071186,0.8011062363334172
small,sc1941,s139,139.0,2.0,5,0.19600488948428155,0.08160031603439129,0.7725282929321153,0.7731835879316507
small,sc1941,s31,31.0,1.8,5,0.3403715168472444,0.08160158837460701,0.8522640624103555,0.8531730564968634
small,sc1941,s48,48.0,1.6,5,0.29322056165476673,0.08160036573186492,0.793025720560923,0.7933182809983789
small,sc1941,s73,73.0,1.8,5,0.2332852283184278,0.08160153669759235,0.8164053734805802,0.8168682110817989
small,sc341,s06,6.0,1.2,5,0.4579851089086979,0.3995203353375251,0.8833610757195186,0.8837590817764194
small,sc341,s09,9.0,0.8,4,0.3697337355775237,0.399522289888216,0.8606686397267344,0.8620615409450381
small,sc341,s13,13.0,1.1,4,0.20916451883658824,0.39952019775772274,0.8890214928214571,0.8889936912399894
small,sc341,s18,18.0,1.0,4,0.29087096529167505,0.3995203353375251,0.8865864206756663,0.8871770380655756
small,sc341,s24,24.0,0.8,5,0.2164564733638782,0.39952048221475633,0.8912915278161402,0.8920389895712827
small,sc917,s13,13.0,1.8,5,0.2058080530199835,0.10617533708139218,0.8009109204888631,0.8012837945080975
small,sc917,s22,22.0,1.8,5,0.18678407299370595,0.106175527743969,0.7970171429554385,0.7977359992388704
small,sc917,s34,34.0,1.6,5,0.18493378264712165,0.10617550213130368,0.8185955157102112,0.8191186598425789
small,sc917,s50,50.0,1.6,4,0.169768683655922,0.1061753185649122,0.8122098011277685,0.8129923094206258
small,sc917,s74,74.0,2.0,5,0.1879118366738015,0.10617381309153318,0.8270563195366427,0.8275201856527648
